"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_LGT_1P","NB_LGT_2P","NB_LGT_3P","NB_LGT_4P","NB_LGT_5P","NB_LGT_6P","NB_LGT_DEMOLIS","NB_LGT_IND_CREES","NB_LGT_COL_CREES","NB_LGT_TOT_CREES","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","I_PISCINE","I_GARAGE","I_VERANDA","I_ABRIJARDIN","I_AUTREANNEXE","I_RESIDPRINC","I_RESIDSEC","I_PERSONNELLE","I_VENTE","I_LOCATION","I_LGTR_SENIORS","I_LGTR_ETUDIANTS","I_LGTR_TOURISME","I_LGTR_HOTELIERESOC","I_LGTR_SOCIAL","I_LGTR_HANDICAPES","I_LGTR_AUTRE","I_LGTR_AUTRE_LIBELLE","SDP_A1","SDP_B1","SDP_D1","SDP_ E1","SDP_F1","TYPE_OPERATION_CONSTR","PERIODE_DEVRT","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01005","2018","00100518V0004","80","2",,,,"565","Chemi","Des Vermots",,,"01330","AMBERIEUX EN DOMBES",,"100","565","chemi","des Vermots",,,"01330","AMBERIEUX EN DOMBES",,"0045ZC",,,2,10842,,,,0,0,0,0,0,0,0,0,0,0,,"2",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,185,31,0,0,0,"4",2018-06-30,"2018-06-07",
"84","01","01005","2018","00100518V0005","10","2",,,,"61","rue","Gombette",,,"01330","AMBERIEUX EN DOMBES",,"100","435","route","de St Trivier",,,"01330","AMBERIEUX EN DOMBES",,"0061AA",,,2,706,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,94,0,0,0,"5",2018-06-30,"2018-06-14",
"84","01","01005","2018","00100518V0009","90","2",,"AST GROUPE","39254982000786","78","rue","Elisee Reclus",,,"69150","DECINES CHARPIEU",,"100",,"Route","du 3 septembre 1944",,,"01330","AMBERIEUX EN DOMBES",,"0002AC","0001AC","0003AC",1,6054,,,,0,0,0,11,2,0,0,13,0,13,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,1203,0,0,0,"14",2018-06-30,,
"84","01","01005","2018","00100518V0010","90","2",,"ADE PROMOTION","80179533700022","102","rue","de la Jacobee",,,"01600","TREVOUX",,"100","119-1","rue","de la Croix Benite",,,"01330","AMBERIEUX EN DOMBES",,"0029AD",,,1,620,,,,0,0,0,1,0,0,0,1,0,1,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,107,121,0,0,0,"7",2018-06-30,,
"84","01","01021","2017","00102117V0009","10","2",,,,"80A",,"Rue de la Garenne",,,"69005","LYON",,"100",,,,,,"01480","ARS SUR FORMANS",,"148pZE",,,3,0,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,85,0,0,0,"5",2018-06-30,"2017-09-14","2018-02-01"
"84","01","01021","2017","00102117V0026","10","2",,,,,,"266 chemin des Gardes",,,"01480","ARS SUR FORMANS",,"100",,,"Lotissement ""Le Clos des g",,,"01480","ARS SUR FORMANS",,"10840A",,,3,1225,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,112,0,0,0,"5",2018-06-30,"2018-01-04","2018-03-19"
"84","01","01021","2018","00102118V0010","10","2",,,,"9",,"Route de Messimy","Champ Moripo",,"01090","LURCY",,"100",,,"Allee des Thuyas",,,"01480","ARS SUR FORMANS",,"08410A",,,2,888,,,,0,0,0,0,0,0,0,1,0,1,,"2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,147,0,0,0,"5",2018-06-30,"2018-06-13",
"84","01","01024","2018","00102418D0011","10","2",,,,"530","Route","de Polliat",,,"01340","ATTIGNAT",,"100",,,"530 Route de Polliat",,,"01340","ATTIGNAT",,"0166AC",,,2,1565,,,,0,0,0,0,0,0,0,1,0,1,,"1",1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,174,51,0,0,0,"7",2018-06-30,"2018-05-31",
"84","01","01024","2018","00102418D0016","10","2",,,,"428","Rue","du Cret Delliat",,,"01440","VIRIAT",,"100",,"Lieu-","Charmeil",,,"01340","ATTIGNAT",,"0234AD",,,2,7205,,,,0,0,0,0,1,0,0,1,0,1,,"1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,103,0,0,0,"5",2018-06-30,"2018-06-25",
"84","01","01025","2018","00102518D0015","32","2",,,,"124","ROUTE","DES PAILLARDIERES","BAGE LA VILLE",,"01380","BAGE DOMMARTIN",,"100","180",,"CHEMIN DE CURTIL",,,"01380","BAGE DOMMARTIN",,"02650D","02640D",,2,1910,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,87,247,0,87,0,"12",2018-06-30,"2018-05-22",
