"REG","DEP","COMM","ANNEE_DEPOT","ID_PC","CAT_MOA","TYPE_MOA","RS_D","DENOMINATION_D","SIRET_D","ADR_NUM_D","ADR_TYPEVOIE_D","ADR_LIBELLEVOIE_D","ADR_LIEUDIT_D","ADR_BP_D","ADR_CP_D","ADR_LOCALITE_D","ADR_CEDEX_D","ADR_PAYS_D","ADR_NUM_T","ADR_TYPEVOIE_T","ADR_LIBELLEVOIE_T","ADR_LIEUDIT_T","ADR_BP_T","ADR_CP_T","ADR_LOCALITE_T","ADR_CEDEX_T","CADASTRE1","CADASTRE2","CADASTRE3","TYPE_EVT","SUPERFICIE_T","LOTISSEMENT","ZAC","AFU","NB_LGT_1P","NB_LGT_2P","NB_LGT_3P","NB_LGT_4P","NB_LGT_5P","NB_LGT_6P","NB_LGT_DEMOLIS","NB_LGT_IND_CREES","NB_LGT_COL_CREES","NB_LGT_TOT_CREES","NB_NIV_MAX","NATURE_PROJET","I_EXTENSION","I_SURELEVATION","I_NIVSUPP","I_PISCINE","I_GARAGE","I_VERANDA","I_ABRIJARDIN","I_AUTREANNEXE","I_RESIDPRINC","I_RESIDSEC","I_PERSONNELLE","I_VENTE","I_LOCATION","I_LGTR_SENIORS","I_LGTR_ETUDIANTS","I_LGTR_TOURISME","I_LGTR_HOTELIERESOC","I_LGTR_SOCIAL","I_LGTR_HANDICAPES","I_LGTR_AUTRE","I_LGTR_AUTRE_LIBELLE","SDP_A1","SDP_B1","SDP_D1","SDP_ E1","SDP_F1","TYPE_OPERATION_CONSTR","PERIODE_DEVRT","DATEREELLE_DECISION_FAV","DATEREELLE_DOC"
"84","01","01004","2017","00100417A1022","90","2",,"AMETIS RHONE-ALPES AUVERGNE","52900363400027",,,"84 quai Joseph Gillet",,,"69004","LYON",,"100",,,"6 rue Henri Dunant",,,"01500","AMBERIEU-EN-BUGEY",,"0038AP","0037AP",,3,2242,,,,0,12,20,10,0,0,0,0,42,42,,"1",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,2918,0,0,0,"14","2018-01-31","2017-06-30","2017-11-06"
"84","01","01005","2018","00100518V0001","90","2",,,,"752","Chemi","des Bruyeres",,,"69650","QUINCIEUX",,"100","54","lotis","les Tulipes",,,"01330","AMBERIEUX EN DOMBES",,"0309AD",,,1,390,,,,0,0,0,1,0,0,0,1,0,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,92,0,0,0,"5","2018-01-31",,
"84","01","01014","2017","00101417H0011","10","2",,,,"1","Rue","des Echallys",,,"01100","ARBENT",,"100",,,"Le Domaine des Compositeur",,,"01100","ARBENT",,"0050AI","0051AI",,3,400,,,,0,0,0,1,0,0,0,1,0,1,,"1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,98,0,0,0,"5","2018-01-31","2017-06-19","2017-11-13"
"84","01","01014","2018","00101418H0001","90","2",,,,,,"484 RUE CENTRALE",,,"01200","BELLEGARDE-SUR-VALSERINE",,"100",,,"6 LOTISSEMENT LE DOMAINE D",,,"01100","ARBENT",,"0500AI",,,1,500,,,,0,0,0,0,1,0,0,1,0,1,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,106,0,0,0,"5","2018-01-31",,
"84","01","01021","2018","00102118V0001","90","2",,,,"67",,"Rue Villon",,,"69008","LYON",,"100",,,"Lotissement Le Clos des Ga",,,"01480","ARS SUR FORMANS",,"02180A",,,1,2911,,,,0,0,0,0,1,0,0,1,0,1,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,131,0,0,0,"5","2018-01-31",,
"84","01","01022","2016","00102216C0002","20","2",,"SEMCODA-M. Patrick GIACHINO","75920075100130",,,"50 rue du Pavillon",,,"01009","BOURG-EN-BRESSE",,"100",,,"4 Allee de l'Eglise",,,"01510","ARTEMARE",,"00650A","00600A",,3,1990,,,,0,2,3,0,0,0,0,0,5,5,,"2",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,342,0,316,26,316,"12","2018-01-31","2016-12-20","2018-01-19"
"84","01","01027","2018","0010271800003","90","2",,"3.Z","82317989000012","12 bi","rue","Marius GROSSO",,,"69120","VAULX EN VELIN",,"100","852","rue","CENTRALE",,,"01360","BALAN",,"16920D","0115ZB","0536ZB",1,1299,,,,0,0,0,0,3,0,0,3,0,3,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,315,0,0,0,"7","2018-01-31",,
"84","01","01032","2017","0010321700010","32","2",,"SCI L'AGE D'OR BELIGNEUX","51340465700019",,"rue","de Brully","Gigny",,"21200","BEAUNE",,"100","37","rue","du Professeur Hugonot","Le Folu",,"01360","BELIGNEUX",,"33670C",,,2,7000,,,,1,16,0,0,0,0,0,0,17,17,,"1",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,,0,955,0,0,0,"6","2018-01-31","2018-01-29",
"84","01","01032","2017","0010321700013","10","2",,,,"12","rue","Jean Dole",,,"01150","Saint Vulbas",,"100","269","route","de Cruisseau","Lot 2",,"01360","BELIGNEUX",,"17150A",,,2,628,,,,0,0,0,1,0,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,139,0,0,0,"5","2018-01-31","2018-01-29",
"84","01","01032","2017","0010321700014","10","2",,,,"868","mont ","de Beligneux",,,"01360","BELIGNEUX",,"100","269","route","de Cruisseau","Lot 1",,"01360","BELIGNEUX",,"17160A","17150A","17170A",2,0,,,,0,0,0,1,0,0,0,1,0,1,,"1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,93,0,0,0,"5","2018-01-31","2018-01-23",
"84","01","01032","2018","0010321800002","90","2",,,,"222","route","de Bourg Saint-Christophe",,,"01360","BELIGNEUX",,"100","222","route","de Bourg Saint-Christophe",,,"01360","BELIGNEUX",,"18360A",,,1,0,,,,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,127,53,0,0,0,"4","2018-01-31",,
"84","01","01032","2018","0010321800003","90","2",,,,"9 bis","avenu","du Marechal de Lattre de",,,"69330","MEYZIEU",,"100",,"route","du Dauphine",,,"01360","BELIGNEUX",,"12510B","12560B","07170B",1,21360,,,,0,12,9,3,0,0,0,0,24,24,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,980,1700,0,0,260,"14","2018-01-31",,
"84","01","01033","2017","00103317B0015","90","2",,"SC Les Portes des Alpes","538513268",,"Route","de Leschaux",,,"74270","Chene en Semine",,"100","37-39","Rue","de la Republique",,,"01200","Bellegarde sur Valserine",,"0798AL","0797AL","0262AL",2,653,,,,0,4,4,4,1,0,0,0,13,13,,"1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1043,0,0,0,"14","2018-01-31","2018-01-30",
"84","01","01033","2017","00103317B0029","90","2",,,,,,"50 RUE DU PAVILLON",,,"01009","BOURG EN BRESSE CEDEX",,"100",,,"02 RUE GEORGES MARIN",,,"01200","BELLEGARDE-SUR-VALSERINE",,"0853AL","0870AL","0872AL",1,336,,,,0,4,12,2,0,0,0,0,18,18,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,1428,0,0,0,"14","2018-01-31",,
"84","01","01033","2017","00103317B0031","10","2",,,,,,"25 rue Antoine Favre",,,"01200","BELLEGARDE-SUR-VALSERINE",,"100",,,"111 rue du Bief de Manant",,,"01200","BELLEGARDE-SUR-VALSERINE",,"0547AM",,,2,410,,,,0,0,0,1,0,0,0,1,0,1,,"1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,125,0,0,0,"5","2018-01-31","2018-01-22",
"84","01","01033","2018","00103318B0001","90","2",,,,,,"2 place Henri Dunant",,,"01200","BELLEGARDE-SUR-VALSERINE",,"100",,,"31 rue Gabrielle Viannay",,,"01200","BELLEGARDE-SUR-VALSERINE",,"0099AI","0153AI","0511AI",1,1706,,,,0,0,0,0,1,0,0,1,0,1,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,132,0,0,0,"5","2018-01-31",,
"84","01","01034","2017","00103417C0020","30","2",,"SARL PRIMMO (Marc DUMAS)  lot n_1","44777085000017",,,"route de billieu",,,"01300","chazey bons",,"100",,,"180 rue P.M.Wiltzer - lot",,,"01300","BELLEY",,"0440AS","0438AS","0437AS",2,1779,,,,0,0,0,0,1,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,86,0,0,0,"5","2018-01-31","2018-01-12",
"84","01","01034","2017","00103417C0021","30","2",,"SARL PRIMMO (Marc DUMAS) lot n_2","44777085000017",,,"route de Billieu",,,"01300","CHAZEY BONS",,"100",,,"180 rue P.M.Wiltzer - lot",,,"01300","BELLEY",,"0439AS","0438AS","0440AS",2,409,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,86,0,0,0,"5","2018-01-31","2018-01-12",
"84","01","01034","2017","00103417C0022","30","2",,"SARL PRIMMO (Marc DUMAS) lot n_3","44777085000017",,,"route de billieu",,,"01300","chazey bons",,"100",,,"180 rue P.M.Wiltzer - lot",,,"01300","BELLEY",,"0440AS","0439AS","0438AS",2,415,,,,0,0,0,0,1,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,86,0,0,0,"5","2018-01-31","2018-01-12",
"84","01","01034","2017","00103417C0023","80","2",,,,,,"6 rue des confluents",,,"74000","annecy",,"100",,,"4 RUE ST MARTIN",,,"01300","BELLEY",,"0256AL","0468AL",,2,564,,,,0,0,0,0,0,0,0,0,0,0,,"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50,23,0,0,0,"4","2018-01-31","2018-01-11",
"84","01","01034","2017","00103417C0024","10","2",,,,,,"6 rue des lorettes - HLM",,,"01350","CULOZ",,"100",,,"lot n_13 ""le clos charman",,,"01300","BELLEY",,"02800A","21680A",,2,429,,,,0,0,0,0,0,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,108,0,0,0,"5","2018-01-31","2018-01-19",
"84","01","01034","2017","00103417C0026","10","2",,,,,,"3 rue Saint Jean",,,"01300","belley",,"100",,,"lot n_2 ""le clos charmant",,,"01300","belley",,"21560A","02800A",,2,544,,,,0,0,0,0,1,0,0,1,0,1,,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,110,0,0,0,"5","2018-01-31","2018-01-25",
"84","01","01034","2017","00103417C0029","10","2",,,,,,"13 residence l'Espiguette",,,"13130","BERRE L'ETANG",,"100",,,"lot n_9 ""clos charmant"" c",,,"01300","BELLEY",,"02800A","21640A",,2,538,,,,0,0,0,1,0,0,0,1,0,1,,"1",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,95,0,0,0,"5","2018-01-31","2018-01-25",
